pattern,membership_queries,equivalence_queries
((a*)((a*)(a*))),5,1
((a*)((a*)(b*))),14,2
((a*)((b*)(a*))),27,2
((a*)((b*)(b*))),14,2
((b*)((a*)(a*))),14,2
((b*)((a*)(b*))),27,2
((b*)((b*)(a*))),14,2
((b*)((b*)(b*))),5,1
((a|(a|(a|(a|a))))*),5,1
((a|(a|(a|(a|b))))*),3,1
((a|(a|(a|(b|a))))*),3,1
((a|(a|(a|(b|b))))*),3,1
((a|(a|(b|(a|a))))*),3,1
((a|(a|(b|(a|b))))*),3,1
((a|(a|(b|(b|a))))*),3,1
((a|(a|(b|(b|b))))*),3,1
((a|(b|(a|(a|a))))*),3,1
((a|(b|(a|(a|b))))*),3,1
((a|(b|(a|(b|a))))*),3,1
((a|(b|(a|(b|b))))*),3,1
((a|(b|(b|(a|a))))*),3,1
((a|(b|(b|(a|b))))*),3,1
((a|(b|(b|(b|a))))*),3,1
((a|(b|(b|(b|b))))*),3,1
((a|(a(a*)))*),5,1
((a|(a(b*)))*),18,2
((a|(b(a*)))*),3,1
((a|(b(b*)))*),3,1
((a|((a*)a))*),5,1
((a|((a*)b))*),3,1
((a|((b*)a))*),5,1
((a|((b*)b))*),3,1
((a|((a|a)*))*),5,1
((a|((a|b)*))*),3,1
((a|((b|a)*))*),3,1
((a|((b|b)*))*),3,1
((a|(a*)|(a*))*),5,1
((a|(a*)|(b*))*),3,1
((a|(b*)|(a*))*),3,1
((a|(b*)|(b*))*),3,1
((b|(a|(a|(a|a))))*),3,1
((b|(a|(a|(a|b))))*),3,1
((b|(a|(a|(b|a))))*),3,1
((b|(a|(a|(b|b))))*),3,1
((b|(a|(b|(a|a))))*),3,1
((b|(a|(b|(a|b))))*),3,1
((b|(a|(b|(b|a))))*),3,1
((b|(a|(b|(b|b))))*),3,1
((b|(b|(a|(a|a))))*),3,1
((b|(b|(a|(a|b))))*),3,1
((b|(b|(a|(b|a))))*),3,1
((b|(b|(a|(b|b))))*),3,1
((b|(b|(b|(a|a))))*),3,1
((b|(b|(b|(a|b))))*),3,1
((b|(b|(b|(b|a))))*),3,1
((b|(b|(b|(b|b))))*),5,1
((b|(a(a*)))*),3,1
((b|(a(b*)))*),3,1
((b|(b(a*)))*),18,2
((b|(b(b*)))*),5,1
((b|((a*)a))*),3,1
((b|((a*)b))*),5,1
((b|((b*)a))*),3,1
((b|((b*)b))*),5,1
((b|((a|a)*))*),3,1
((b|((a|b)*))*),3,1
((b|((b|a)*))*),3,1
((b|((b|b)*))*),5,1
((b|(a*)|(a*))*),3,1
((b|(a*)|(b*))*),3,1
((b|(b*)|(a*))*),3,1
((b|(b*)|(b*))*),5,1
(((aa)|(a*))*),5,1
(((aa)|(b*))*),18,2
(((ab)|(a*))*),18,2
(((ab)|(b*))*),18,2
(((ba)|(a*))*),18,2
(((ba)|(b*))*),18,2
(((bb)|(a*))*),18,2
(((bb)|(b*))*),5,1
(((a*)|((aa)*))*),5,1
(((a*)|((ab)*))*),18,2
(((a*)|((ba)*))*),18,2
(((a*)|((bb)*))*),18,2
(((b*)|((aa)*))*),18,2
(((b*)|((ab)*))*),18,2
(((b*)|((ba)*))*),22,2
(((b*)|((bb)*))*),5,1
((((aa)*)|(a*))*),5,1
((((aa)*)|(b*))*),18,2
((((ab)*)|(a*))*),26,2
((((ab)*)|(b*))*),18,2
((((ba)*)|(a*))*),18,2
((((ba)*)|(b*))*),18,2
((((bb)*)|(a*))*),18,2
((((bb)*)|(b*))*),5,1
(((a|(a|a))a)*),18,2
(((a|(a|a))b)*),18,2
(((a|(a|b))a)*),22,2
(((a|(a|b))b)*),22,2
(((a|(b|a))a)*),22,2
(((a|(b|a))b)*),22,2
(((a|(b|b))a)*),22,2
(((a|(b|b))b)*),22,2
(((b|(a|a))a)*),22,2
(((b|(a|a))b)*),22,2
(((b|(a|b))a)*),22,2
(((b|(a|b))b)*),22,2
(((b|(b|a))a)*),22,2
(((b|(b|a))b)*),22,2
((((a*)|(a*))a)*),5,1
((((a*)|(a*))b)*),5,1
((((a*)|(b*))a)*),5,1
((((a*)|(b*))b)*),5,1
((((b*)|(a*))a)*),5,1
((((b*)|(a*))b)*),5,1
((((b*)|(b*))a)*),5,1
((((b*)|(b*))b)*),5,1
((a(a|(a|a)))*),18,2
((a(a|(a|b)))*),18,2
((a(a|(b|a)))*),18,2
((a(a|(b|b)))*),18,2
((a(b|(a|a)))*),18,2
((a(b|(a|b)))*),18,2
((a(b|(b|a)))*),18,2
((a(b|(b|b)))*),18,2
((a((a*)|(a*)))*),5,1
((a((a*)|(b*)))*),18,2
((a((b*)|(a*)))*),18,2
((a((b*)|(b*)))*),18,2
((a((aa)*))*),5,1
((a((ab)*))*),33,2
((a((ba)*))*),33,2
((a((bb)*))*),33,2
((b((a*)|(a*)))*),18,2
((b((a*)|(b*)))*),18,2
((b((b*)|(a*)))*),18,2
((b((b*)|(b*)))*),5,1
((b((aa)*))*),33,2
((b((ab)*))*),33,2
((b((ba)*))*),33,2
((b((bb)*))*),5,1
((((a|a)*)(a*))*),5,1
((((a|a)*)(b*))*),3,1
((((a|b)*)(a*))*),3,1
((((a|b)*)(b*))*),3,1
((((b|a)*)(a*))*),3,1
((((b|a)*)(b*))*),3,1
((((b|b)*)(a*))*),3,1
((((b|b)*)(b*))*),5,1
(((a*)((a|a)*))*),5,1
(((a*)((a|b)*))*),3,1
(((a*)((b|a)*))*),3,1
(((a*)((b|b)*))*),3,1
(((b*)((a|a)*))*),3,1
(((b*)((a|b)*))*),3,1
(((b*)((b|a)*))*),3,1
(((b*)((b|b)*))*),5,1
((((aa)*)a)*),5,1
((((aa)*)b)*),45,3
((((ab)*)a)*),33,2
((((ab)*)b)*),45,3
((((ba)*)a)*),45,3
((((ba)*)b)*),33,2
((((bb)*)a)*),45,3
((((bb)*)b)*),5,1
((a((a*)(a*)))*),5,1
((a((a*)(b*)))*),18,2
((a((b*)(a*)))*),18,2
((a((b*)(b*)))*),18,2
((b((a*)(a*)))*),18,2
((b((a*)(b*)))*),18,2
((b((b*)(a*)))*),18,2
((b((b*)(b*)))*),5,1
(((a*)(a(a*)))*),5,1
(((a*)(a(b*)))*),18,2
(((a*)(b(a*)))*),18,2
(((a*)(b(b*)))*),5,1
(((a*)((a*)a))*),5,1
(((a*)((a*)b))*),5,1
(((a*)((b*)a))*),5,1
(((a*)((b*)b))*),5,1
(((b*)(a(a*)))*),5,1
(((b*)(a(b*)))*),18,2
(((b*)(b(a*)))*),18,2
(((b*)(b(b*)))*),5,1
(((b*)((a*)a))*),5,1
(((b*)((a*)b))*),5,1
(((b*)((b*)a))*),5,1
(((b*)((b*)b))*),5,1
(a|(a|(a|(a|(a|a))))),18,2
(a|(a|(a|(a|(a|b))))),18,2
(a|(a|(a|(a|(b|a))))),18,2
(a|(a|(a|(a|(b|b))))),18,2
(a|(a|(a|(b|(a|a))))),18,2
(a|(a|(a|(b|(a|b))))),18,2
(a|(a|(a|(b|(b|a))))),18,2
(a|(a|(a|(b|(b|b))))),18,2
(a|(a|(b|(a|(a|a))))),18,2
(a|(a|(b|(a|(a|b))))),18,2
(a|(a|(b|(a|(b|a))))),18,2
(a|(a|(b|(a|(b|b))))),18,2
(a|(a|(b|(b|(a|a))))),18,2
(a|(a|(b|(b|(a|b))))),18,2
(a|(a|(b|(b|(b|a))))),18,2
(a|(a|(b|(b|(b|b))))),18,2
(a|(a|(a(a*)))),18,2
(a|(a|(a(b*)))),18,2
(a|(a|(b(a*)))),22,2
(a|(a|(b(b*)))),22,2
(a|(a|((a*)a))),18,2
(a|(a|((a*)b))),33,2
(a|(a|((b*)a))),18,2
(a|(a|((b*)b))),22,2
(a|(a|((a|a)*))),5,1
(a|(a|((a|b)*))),3,1
(a|(a|((b|a)*))),3,1
(a|(a|((b|b)*))),33,3
(a|(a|(a*)|(a*))),5,1
(a|(a|(a*)|(b*))),33,3
(a|(a|(b*)|(a*))),33,3
(a|(a|(b*)|(b*))),33,3
(a|(b|(a|(a|(a|a))))),18,2
(a|(b|(a|(a|(a|b))))),18,2
(a|(b|(a|(a|(b|a))))),18,2
(a|(b|(a|(a|(b|b))))),18,2
(a|(b|(a|(b|(a|a))))),18,2
(a|(b|(a|(b|(a|b))))),18,2
(a|(b|(a|(b|(b|a))))),18,2
(a|(b|(a|(b|(b|b))))),18,2
(a|(b|(b|(a|(a|a))))),18,2
(a|(b|(b|(a|(a|b))))),18,2
(a|(b|(b|(a|(b|a))))),18,2
(a|(b|(b|(a|(b|b))))),18,2
(a|(b|(b|(b|(a|a))))),18,2
(a|(b|(b|(b|(a|b))))),18,2
(a|(b|(b|(b|(b|a))))),18,2
(a|(b|(b|(b|(b|b))))),18,2
(a|(b|(a(a*)))),18,2
(a|(b|(a(b*)))),27,2
(a|(b|(b(a*)))),22,2
(a|(b|(b(b*)))),22,2
(a|(b|((a*)a))),18,2
(a|(b|((a*)b))),33,2
(a|(b|((b*)a))),45,3
(a|(b|((b*)b))),22,2
(a|(b|((a|a)*))),33,3
(a|(b|((a|b)*))),3,1
(a|(b|((b|a)*))),3,1
(a|(b|((b|b)*))),33,3
(a|(b|(a*)|(a*))),33,3
(a|(b|(a*)|(b*))),33,3
(a|(b|(b*)|(a*))),33,3
(a|(b|(b*)|(b*))),33,3
(a|((a|a)a)),22,2
(a|((a|a)b)),39,3
(a|((a|b)a)),39,2
(a|((a|b)b)),33,2
(a|((b|a)a)),39,2
(a|((b|a)b)),33,2
(a|((b|b)a)),33,2
(a|((b|b)b)),39,3
(a|(a(a|a))),22,2
(a|(a(a|b))),22,2
(a|(a(b|a))),22,2
(a|(a(b|b))),39,3
(a|(b(a|a))),33,2
(a|(b(a|b))),39,3
(a|(b(b|a))),39,3
(a|(b(b|b))),39,3
(a|(a(aa))),68,3
(a|(a(ab))),52,3
(a|(a(ba))),68,3
(a|(a(bb))),52,3
(a|(b(aa))),60,3
(a|(b(ab))),60,3
(a|(b(ba))),68,3
(a|(b(bb))),52,3
(a|((a|(a|a))*)),5,1
(a|((a|(a|b))*)),3,1
(a|((a|(b|a))*)),3,1
(a|((a|(b|b))*)),3,1
(a|((b|(a|a))*)),3,1
(a|((b|(a|b))*)),3,1
(a|((b|(b|a))*)),3,1
(a|((b|(b|b))*)),33,3
(a|(((a*)|(a*))*)),5,1
(a|(((a*)|(b*))*)),3,1
(a|(((b*)|(a*))*)),3,1
(a|(((b*)|(b*))*)),33,3
(a|((a(a*))*)),5,1
(a|((a(b*))*)),18,2
(a|((b(a*))*)),39,3
(a|((b(b*))*)),33,3
(a|(((a*)a)*)),5,1
(a|(((a*)b)*)),14,2
(a|(((b*)a)*)),5,1
(a|(((b*)b)*)),33,3
(b|(a|(a|(a|(a|a))))),18,2
(b|(a|(a|(a|(a|b))))),18,2
(b|(a|(a|(a|(b|a))))),18,2
(b|(a|(a|(a|(b|b))))),18,2
(b|(a|(a|(b|(a|a))))),18,2
(b|(a|(a|(b|(a|b))))),18,2
(b|(a|(a|(b|(b|a))))),18,2
(b|(a|(a|(b|(b|b))))),18,2
(b|(a|(b|(a|(a|a))))),18,2
(b|(a|(b|(a|(a|b))))),18,2
(b|(a|(b|(a|(b|a))))),18,2
(b|(a|(b|(a|(b|b))))),18,2
(b|(a|(b|(b|(a|a))))),18,2
(b|(a|(b|(b|(a|b))))),18,2
(b|(a|(b|(b|(b|a))))),18,2
(b|(a|(b|(b|(b|b))))),18,2
(b|(a|(a(a*)))),18,2
(b|(a|(a(b*)))),27,2
(b|(a|(b(a*)))),22,2
(b|(a|(b(b*)))),22,2
(b|(a|((a*)a))),18,2
(b|(a|((a*)b))),33,2
(b|(a|((b*)a))),45,3
(b|(a|((b*)b))),22,2
(b|(a|((a|a)*))),33,3
(b|(a|((a|b)*))),3,1
(b|(a|((b|a)*))),3,1
(b|(a|((b|b)*))),33,3
(b|(a|(a*)|(a*))),33,3
(b|(a|(a*)|(b*))),33,3
(b|(a|(b*)|(a*))),33,3
(b|(a|(b*)|(b*))),33,3
(b|(b|(a|(a|(a|a))))),18,2
(b|(b|(a|(a|(a|b))))),18,2
(b|(b|(a|(a|(b|a))))),18,2
(b|(b|(a|(a|(b|b))))),18,2
(b|(b|(a|(b|(a|a))))),18,2
(b|(b|(a|(b|(a|b))))),18,2
(b|(b|(a|(b|(b|a))))),18,2
(b|(b|(a|(b|(b|b))))),18,2
(b|(b|(b|(a|(a|a))))),18,2
(b|(b|(b|(a|(a|b))))),18,2
(b|(b|(b|(a|(b|a))))),18,2
(b|(b|(b|(a|(b|b))))),18,2
(b|(b|(b|(b|(a|a))))),18,2
(b|(b|(b|(b|(a|b))))),18,2
(b|(b|(b|(b|(b|a))))),18,2
(b|(b|(b|(b|(b|b))))),18,2
(b|(b|(a(a*)))),18,2
(b|(b|(a(b*)))),27,2
(b|(b|(b(a*)))),18,2
(b|(b|(b(b*)))),18,2
(b|(b|((a*)a))),18,2
(b|(b|((a*)b))),18,2
(b|(b|((b*)a))),45,3
(b|(b|((b*)b))),18,2
(b|(b|((a|a)*))),33,3
(b|(b|((a|b)*))),3,1
(b|(b|((b|a)*))),3,1
(b|(b|((b|b)*))),5,1
(b|(b|(a*)|(a*))),33,3
(b|(b|(a*)|(b*))),33,3
(b|(b|(b*)|(a*))),33,3
(b|(b|(b*)|(b*))),5,1
(b|((a|a)a)),39,3
(b|((a|a)b)),45,3
(b|((a|b)a)),39,3
(b|((a|b)b)),33,2
(b|((b|a)a)),39,3
(b|((b|a)b)),33,2
(b|((b|b)a)),39,3
(b|((b|b)b)),22,2
(b|(a(a|a))),39,3
(b|(a(a|b))),39,3
(b|(a(b|a))),39,3
(b|(a(b|b))),45,3
(b|(b(a|a))),39,3
(b|(b(a|b))),22,2
(b|(b(b|a))),22,2
(b|(b(b|b))),22,2
(b|(a(aa))),52,3
(b|(a(ab))),68,3
(b|(a(ba))),60,3
(b|(a(bb))),60,3
(b|(b(aa))),52,3
(b|(b(ab))),68,3
(b|(b(ba))),52,3
(b|(b(bb))),68,3
(b|((a|(a|a))*)),33,3
(b|((a|(a|b))*)),3,1
(b|((a|(b|a))*)),3,1
(b|((a|(b|b))*)),3,1
(b|((b|(a|a))*)),3,1
(b|((b|(a|b))*)),3,1
(b|((b|(b|a))*)),3,1
(b|((b|(b|b))*)),5,1
(b|(((a*)|(a*))*)),33,3
(b|(((a*)|(b*))*)),3,1
(b|(((b*)|(a*))*)),3,1
(b|(((b*)|(b*))*)),5,1
(b|((a(a*))*)),33,3
(b|((a(b*))*)),39,3
(b|((b(a*))*)),18,2
(b|((b(b*))*)),5,1
(b|(((a*)a)*)),33,3
(b|(((a*)b)*)),5,1
(b|(((b*)a)*)),14,2
(b|(((b*)b)*)),5,1
((aa)|(aa)),39,3
((aa)|(ab)),39,3
((aa)|(ba)),45,3
((aa)|(bb)),68,4
((ab)|(aa)),39,3
((ab)|(ab)),39,3
((ab)|(ba)),68,4
((ab)|(bb)),39,3
((ba)|(aa)),45,3
((ba)|(ab)),68,4
((ba)|(ba)),39,3
((ba)|(bb)),39,3
((bb)|(aa)),68,4
((bb)|(ab)),39,3
((bb)|(ba)),39,3
((bb)|(bb)),39,3
(((a*)(a*))|(a*)),5,1
(((a*)(a*))|(b*)),33,3
(((a*)(b*))|(a*)),14,2
(((a*)(b*))|(b*)),14,2
(((b*)(a*))|(a*)),14,2
(((b*)(a*))|(b*)),14,2
(((b*)(b*))|(a*)),33,3
(((b*)(b*))|(b*)),5,1
(((a|a)*)|((a|a)*)),5,1
(((a|a)*)|((a|b)*)),3,1
(((a|a)*)|((b|a)*)),3,1
(((a|a)*)|((b|b)*)),33,3
(((a|a)*)|(a*)|(a*)),5,1
(((a|a)*)|(a*)|(b*)),33,3
(((a|a)*)|(b*)|(a*)),33,3
(((a|a)*)|(b*)|(b*)),33,3
(((a|b)*)|((a|a)*)),3,1
(((a|b)*)|((a|b)*)),3,1
(((a|b)*)|((b|a)*)),3,1
(((a|b)*)|((b|b)*)),3,1
(((a|b)*)|(a*)|(a*)),3,1
(((a|b)*)|(a*)|(b*)),3,1
(((a|b)*)|(b*)|(a*)),3,1
(((a|b)*)|(b*)|(b*)),3,1
(((a|(a*))*)|(a*)),5,1
(((a|(a*))*)|(b*)),33,3
(((a|(b*))*)|(a*)),3,1
(((a|(b*))*)|(b*)),3,1
(((b|a)*)|((a|a)*)),3,1
(((b|a)*)|((a|b)*)),3,1
(((b|a)*)|((b|a)*)),3,1
(((b|a)*)|((b|b)*)),3,1
(((b|a)*)|(a*)|(a*)),3,1
(((b|a)*)|(a*)|(b*)),3,1
(((b|a)*)|(b*)|(a*)),3,1
(((b|a)*)|(b*)|(b*)),3,1
(((b|b)*)|((a|a)*)),33,3
(((b|b)*)|((a|b)*)),3,1
(((b|b)*)|((b|a)*)),3,1
(((b|b)*)|((b|b)*)),5,1
(((b|b)*)|(a*)|(a*)),33,3
(((b|b)*)|(a*)|(b*)),33,3
(((b|b)*)|(b*)|(a*)),33,3
(((b|b)*)|(b*)|(b*)),5,1
(((b|(a*))*)|(a*)),3,1
(((b|(a*))*)|(b*)),3,1
(((b|(b*))*)|(a*)),33,3
(((b|(b*))*)|(b*)),5,1
((a*)|((a|(a*))*)),5,1
((a*)|((a|(b*))*)),3,1
((a*)|((b|(a*))*)),3,1
((a*)|((b|(b*))*)),33,3
((a*)|(((a*)(a*))*)),5,1
((a*)|(((a*)(b*))*)),3,1
((a*)|(((b*)(a*))*)),3,1
((a*)|(((b*)(b*))*)),33,3
((a*)|((a|a)*)|(a*)),5,1
((a*)|((a|a)*)|(b*)),33,3
((a*)|((a|b)*)|(a*)),3,1
((a*)|((a|b)*)|(b*)),3,1
((a*)|((b|a)*)|(a*)),3,1
((a*)|((b|a)*)|(b*)),3,1
((a*)|((b|b)*)|(a*)),33,3
((a*)|((b|b)*)|(b*)),33,3
((a*)|(a*)|((a|a)*)),5,1
((a*)|(a*)|((a|b)*)),3,1
((a*)|(a*)|((b|a)*)),3,1
((a*)|(a*)|((b|b)*)),33,3
((a*)|(a*)|(a*)|(a*)),5,1
((a*)|(a*)|(a*)|(b*)),33,3
((a*)|(a*)|(b*)|(a*)),33,3
((a*)|(a*)|(b*)|(b*)),33,3
((a*)|(b*)|((a|a)*)),33,3
((a*)|(b*)|((a|b)*)),3,1
((a*)|(b*)|((b|a)*)),3,1
((a*)|(b*)|((b|b)*)),33,3
((a*)|(b*)|(a*)|(a*)),33,3
((a*)|(b*)|(a*)|(b*)),33,3
((a*)|(b*)|(b*)|(a*)),33,3
((a*)|(b*)|(b*)|(b*)),33,3
((b*)|((a|(a*))*)),33,3
((b*)|((a|(b*))*)),3,1
((b*)|((b|(a*))*)),3,1
((b*)|((b|(b*))*)),5,1
((b*)|(((a*)(a*))*)),33,3
((b*)|(((a*)(b*))*)),3,1
((b*)|(((b*)(a*))*)),3,1
((b*)|(((b*)(b*))*)),5,1
((b*)|((a|a)*)|(a*)),33,3
((b*)|((a|a)*)|(b*)),33,3
((b*)|((a|b)*)|(a*)),3,1
((b*)|((a|b)*)|(b*)),3,1
((b*)|((b|a)*)|(a*)),3,1
((b*)|((b|a)*)|(b*)),3,1
((b*)|((b|b)*)|(a*)),33,3
((b*)|((b|b)*)|(b*)),5,1
((b*)|(a*)|((a|a)*)),33,3
((b*)|(a*)|((a|b)*)),3,1
((b*)|(a*)|((b|a)*)),3,1
((b*)|(a*)|((b|b)*)),33,3
((b*)|(a*)|(a*)|(a*)),33,3
((b*)|(a*)|(a*)|(b*)),33,3
((b*)|(a*)|(b*)|(a*)),33,3
((b*)|(a*)|(b*)|(b*)),33,3
((b*)|(b*)|((a|a)*)),33,3
((b*)|(b*)|((a|b)*)),3,1
((b*)|(b*)|((b|a)*)),3,1
((b*)|(b*)|((b|b)*)),5,1
((b*)|(b*)|(a*)|(a*)),33,3
((b*)|(b*)|(a*)|(b*)),33,3
((b*)|(b*)|(b*)|(a*)),33,3
((b*)|(b*)|(b*)|(b*)),5,1
((((a*)(a*))*)|(a*)),5,1
((((a*)(a*))*)|(b*)),33,3
((((a*)(b*))*)|(a*)),3,1
((((a*)(b*))*)|(b*)),3,1
((((b*)(a*))*)|(a*)),3,1
((((b*)(a*))*)|(b*)),3,1
((((b*)(b*))*)|(a*)),33,3
((((b*)(b*))*)|(b*)),5,1
((a|a)((a|a)*)),18,2
((a|a)((a|b)*)),18,2
((a|a)((b|a)*)),18,2
((a|a)((b|b)*)),18,2
((a|b)((a|a)*)),18,2
((a|b)((a|b)*)),5,1
((a|b)((b|a)*)),5,1
((a|b)((b|b)*)),18,2
((a|(a|(a|a)))a),39,3
((a|(a|(a|a)))b),39,3
((a|(a|(a|b)))a),45,3
((a|(a|(a|b)))b),39,3
((a|(a|(b|a)))a),45,3
((a|(a|(b|a)))b),39,3
((a|(a|(b|b)))a),45,3
((a|(a|(b|b)))b),39,3
((a|(b|(a|a)))a),45,3
((a|(b|(a|a)))b),39,3
((a|(b|(a|b)))a),45,3
((a|(b|(a|b)))b),39,3
((a|(b|(b|a)))a),45,3
((a|(b|(b|a)))b),39,3
((a|(b|(b|b)))a),45,3
((a|(b|(b|b)))b),39,3
((a|(a*))(a*)),5,1
((a|(a*))(b*)),14,2
((a|(b*))(a*)),14,2
((a|(b*))(b*)),14,2
((b|a)((a|a)*)),18,2
((b|a)((a|b)*)),5,1
((b|a)((b|a)*)),5,1
((b|a)((b|b)*)),18,2
((b|b)((a|a)*)),18,2
((b|b)((a|b)*)),18,2
((b|b)((b|a)*)),18,2
((b|b)((b|b)*)),18,2
((b|(a|(a|a)))a),45,3
((b|(a|(a|a)))b),39,3
((b|(a|(a|b)))a),45,3
((b|(a|(a|b)))b),39,3
((b|(a|(b|a)))a),45,3
((b|(a|(b|a)))b),39,3
((b|(a|(b|b)))a),45,3
((b|(a|(b|b)))b),39,3
((b|(b|(a|a)))a),45,3
((b|(b|(a|a)))b),39,3
((b|(b|(a|b)))a),45,3
((b|(b|(a|b)))b),39,3
((b|(b|(b|a)))a),45,3
((b|(b|(b|a)))b),39,3
((b|(b|(b|b)))a),39,3
((b|(b|(b|b)))b),39,3
((b|(a*))(a*)),14,2
((b|(a*))(b*)),14,2
((b|(b*))(a*)),14,2
((b|(b*))(b*)),5,1
(a(a|(a|(a|a)))),39,3
(a(a|(a|(a|b)))),39,3
(a(a|(a|(b|a)))),39,3
(a(a|(a|(b|b)))),39,3
(a(a|(b|(a|a)))),39,3
(a(a|(b|(a|b)))),39,3
(a(a|(b|(b|a)))),39,3
(a(a|(b|(b|b)))),39,3
(a(b|(a|(a|a)))),39,3
(a(b|(a|(a|b)))),39,3
(a(b|(a|(b|a)))),39,3
(a(b|(a|(b|b)))),39,3
(a(b|(b|(a|a)))),39,3
(a(b|(b|(a|b)))),39,3
(a(b|(b|(b|a)))),39,3
(a(b|(b|(b|b)))),39,3
(a((a|(a*))*)),18,2
(a((a|(b*))*)),18,2
(a((b|(a*))*)),18,2
(a((b|(b*))*)),18,2
(a(((a*)(a*))*)),18,2
(a(((a*)(b*))*)),18,2
(a(((b*)(a*))*)),18,2
(a(((b*)(b*))*)),18,2
(b(a|(a|(a|a)))),39,3
(b(a|(a|(a|b)))),39,3
(b(a|(a|(b|a)))),39,3
(b(a|(a|(b|b)))),39,3
(b(a|(b|(a|a)))),39,3
(b(a|(b|(a|b)))),39,3
(b(a|(b|(b|a)))),39,3
(b(a|(b|(b|b)))),39,3
(b(b|(a|(a|a)))),39,3
(b(b|(a|(a|b)))),39,3
(b(b|(a|(b|a)))),39,3
(b(b|(a|(b|b)))),39,3
(b(b|(b|(a|a)))),39,3
(b(b|(b|(a|b)))),39,3
(b(b|(b|(b|a)))),39,3
(b(b|(b|(b|b)))),39,3
(b((a|(a*))*)),18,2
(b((a|(b*))*)),18,2
(b((b|(a*))*)),18,2
(b((b|(b*))*)),18,2
(b(((a*)(a*))*)),18,2
(b(((a*)(b*))*)),18,2
(b(((b*)(a*))*)),18,2
(b(((b*)(b*))*)),18,2
(((a|a)*)(a|a)),18,2
(((a|a)*)(a|b)),18,2
(((a|a)*)(b|a)),18,2
(((a|a)*)(b|b)),18,2
(((a|b)*)(a|a)),5,1
(((a|b)*)(a|b)),5,1
(((a|b)*)(b|a)),5,1
(((a|b)*)(b|b)),5,1
(((a|(a|a))*)(a*)),5,1
(((a|(a|a))*)(b*)),14,2
(((a|(a|b))*)(a*)),3,1
(((a|(a|b))*)(b*)),3,1
(((a|(b|a))*)(a*)),3,1
(((a|(b|a))*)(b*)),3,1
(((a|(b|b))*)(a*)),3,1
(((a|(b|b))*)(b*)),3,1
(((b|a)*)(a|a)),5,1
(((b|a)*)(a|b)),5,1
(((b|a)*)(b|a)),5,1
(((b|a)*)(b|b)),5,1
(((b|b)*)(a|a)),18,2
(((b|b)*)(a|b)),22,2
(((b|b)*)(b|a)),22,2
(((b|b)*)(b|b)),18,2
(((b|(a|a))*)(a*)),3,1
(((b|(a|a))*)(b*)),3,1
(((b|(a|b))*)(a*)),3,1
(((b|(a|b))*)(b*)),3,1
(((b|(b|a))*)(a*)),3,1
(((b|(b|a))*)(b*)),3,1
(((b|(b|b))*)(a*)),14,2
(((b|(b|b))*)(b*)),5,1
((((b*)|(a*))*)(b*)),3,1
((a*)(a|(a*))),5,1
((a*)(a|(b*))),14,2
((a*)(b|(a*))),14,2
((a*)(b|(b*))),14,2
((a*)((a|(a|a))*)),5,1
((a*)((a|(a|b))*)),3,1
((a*)((a|(b|a))*)),3,1
((a*)((a|(b|b))*)),3,1
((a*)((b|(a|a))*)),3,1
((a*)((b|(a|b))*)),3,1
((a*)((b|(b|a))*)),3,1
((a*)((b|(b|b))*)),14,2
((a*)(((a*)|(a*))*)),5,1
((a*)(((a*)|(b*))*)),3,1
((a*)(((b*)|(a*))*)),3,1
((a*)(((b*)|(b*))*)),14,2
((a*)((a(a*))*)),5,1
((a*)((a(b*))*)),18,2
((a*)((b(a*))*)),3,1
((a*)((b(b*))*)),14,2
((a*)(((a*)a)*)),5,1
((a*)(((a*)b)*)),14,2
((a*)(((b*)a)*)),5,1
((a*)(((b*)b)*)),14,2
((b*)(a|(a*))),14,2
((b*)(a|(b*))),14,2
((b*)(b|(a*))),14,2
((b*)(b|(b*))),5,1
((b*)((a|(a|a))*)),14,2
((b*)((a|(a|b))*)),3,1
((b*)((a|(b|a))*)),3,1
((b*)((a|(b|b))*)),3,1
((b*)((b|(a|a))*)),3,1
((b*)((b|(a|b))*)),3,1
((b*)((b|(b|a))*)),3,1
((b*)((b|(b|b))*)),5,1
((b*)(((a*)|(a*))*)),14,2
((b*)(((a*)|(b*))*)),3,1
((b*)(((b*)|(a*))*)),3,1
((b*)(((b*)|(b*))*)),5,1
((b*)((a(a*))*)),14,2
((b*)((a(b*))*)),3,1
((b*)((b(a*))*)),18,2
((b*)((b(b*))*)),5,1
((b*)(((a*)a)*)),14,2
((b*)(((a*)b)*)),5,1
((b*)(((b*)a)*)),14,2
((b*)(((b*)b)*)),5,1
(((a(a*))*)(a*)),5,1
(((a(a*))*)(b*)),14,2
(((a(b*))*)(a*)),18,2
(((a(b*))*)(b*)),39,3
(((b(a*))*)(a*)),39,3
(((b(a*))*)(b*)),18,2
(((b(b*))*)(a*)),14,2
(((b(b*))*)(b*)),5,1
((((a*)a)*)(a*)),5,1
((((a*)a)*)(b*)),14,2
((((a*)b)*)(a*)),3,1
((((a*)b)*)(b*)),5,1
((((b*)a)*)(a*)),5,1
((((b*)a)*)(b*)),3,1
((((b*)b)*)(a*)),14,2
((((b*)b)*)(b*)),5,1
((a|a)(a(a*))),39,3
((a|a)(a(b*))),39,3
((a|a)(b(a*))),39,3
((a|a)(b(b*))),39,3
((a|a)((a*)a)),39,3
((a|a)((a*)b)),39,3
((a|a)((b*)a)),39,3
